	City	Price	State	Title	Url	Condition	Cylinders	Description	Drive	Fuel	Make_Model	Num_Image	Odometer	Paint_Color	Size	Time	Title_Status	Transmission	VIN	Year
0	Corinth	1200	N/A	2000 Saturn SC 3 Door 36 MPG!	https://northmiss.craigslist.org/cto/d/2000-saturn-sc-3-door-36-mpg/6466197866.html		 4 cylinders	DO NOT ASK IF THIS CAR IS STILL FOR SALE WILL BE DELETED WHEN SOLD!! SOLD AS IS!! NO TRADES! CLEAR TITLE!!NO TRADES!  PRICE IS FIRM $1,200 CASH NO MAKING PAYMENTS DOES NOT RUN NEEDS FUEL PUMP!This car just went on a 600 mile trip  and then would not start the next day.Turns over  was told it needs fuel pump.If you buy it you will have to haul it to wherever it is to be fixed  Do not have the money for a tow bill and a shop bill to fix it.212,xxx miles CLEAR TITLE ,NON SMOKER OWNER 36 Miles per gallon!4 cylinder (ran great when it was running)5 speed (clutch works perfect shifts great)A/C and heat work perfectPower windows (work perfect),locks,sunroof,tilt steering wheel,cruise control,delay wipers Extremely nice and clean interior,Paint shines up good but it's a 2000 model shows some wear.It is not a one owner car nor do I know or care how many owners it's had.Due to scams email only	 fwd	 gas	Saturn SC	5.0	212000.0	 purple	 compact	2018-01-20  2:19am	 clean	 manual		2000.0
1	fultonms	3600	N/A	2003 Toyota camry le	https://northmiss.craigslist.org/cto/d/2003-toyota-camry-le/6458749939.html	 good	 4 cylinders	2003 Toyota Camry le4 cylinder 2.4 l. EngineRuns & drives goodClean inside & outsideCall or text,  show contact infoNo trades please!!!	 fwd	 gas	toyota camry le	24.0	222377.0	 silver	 mid-size	2018-01-13  4:39pm	 clean	 automatic	 4T1BE32K93U690818	2003.0
2	Greenwood	600	MS	2008 CROWN VICTORIA police Car	https://northmiss.craigslist.org/cto/d/2008-crown-victoria-police-car/6451355240.html	 fair	 8 cylinders	2008 Ford Crown Victoria police car good V8,4.6L motor 187,000 miles (bad transmission) will not run a lot of parts missing clear title selling as is for $600 call or text anytime  show contact info	 rwd	 gas	ford crown victoria police	10.0	187000.0	 white	 full-size	2018-01-07  3:20pm	 clean	 automatic		2008.0
3	Columbus	3400	N/A	2005 Mercedes Benz E Class E320 Sedan 4 Door   Runs Great	https://northmiss.craigslist.org/cto/d/2005-mercedes-benz-class-e320/6457257970.html			For Sale:2005 Mercedes E Class E320 SedanIt cranks and runs great.  It has an automatic transmission, good tires, and good brakes.Clean Title400000 miles and just had a full service and check up at the dealership.$3400 or best offer.Call  show contact info		 gas	mercedes-benz	4.0				2018-01-12 12:45pm	 clean	 automatic		2005.0
4	Columbus	2200	N/A	2004 Chrysler PT Cruiser  Runs Great	https://northmiss.craigslist.org/cto/d/2004-chrysler-pt-cruiser-runs/6457234812.html			For Sale:2004 Chrysler PT Cruiser.It cranks and runs great.  It has a manual transmission, good brakes, and good tires.Clean Title120000 miles$2200 or best offerCall  show contact info		 diesel	chrysler pt cruiser	4.0				2018-01-12 12:30pm	 clean	 manual		2004.0
5	Southaven	1234	N/A	Painless Dent Repair Mobile	https://northmiss.craigslist.org/cto/d/painless-dent-repair-mobile/6476597479.html			"Aplusdentrepair.comCall Jacob 901849398two We remove dings and small dents, fast, friendly and professional. Let us make your car or truck look new again Call now to schedule an appointment for same day service.""Making Cars Dent Free Since 2003"""		 other	Dents	1.0				2018-01-28  9:55pm	 clean	 other		2019.0
6	Blue	11500	Mountain	"2012 Maxima ""Loaded"""	https://northmiss.craigslist.org/cto/d/2012-maxima-loaded/6475123544.html	 excellent	 6 cylinders	Brown Nissan Maxima with black leather interior, sunroof, keyless pushbutton start, basically all options. Tires have many miles left and car has a brand new battery. Really nice and clean car.		 gas	Nissan Maxima	8.0	130000.0	 brown		2018-01-27  2:36pm	 clean	 automatic		2012.0
7	Kossuth	23000	N/A	Dodge Ram 3500 Turbo Diesel	https://northmiss.craigslist.org/cto/d/dodge-ram-3500-turbo-diesel/6481524069.html	 excellent		2012 Dodge Ram 3500 Heavy Duty 6.7 Turbo Diesel 2WD Dually New Bed / Back up camera / Great tires $23,000I do not need help selling.	 rwd	 diesel	Dodge Ram 3500	15.0	151933.0	 white	 full-size	2018-02-01 10:10pm	 clean	 automatic		2012.0
8	Olive	20500	Branch	2014 GMC TERRAIN DENALI	https://northmiss.craigslist.org/cto/d/2014-gmc-terrain-denali/6481523785.html	 excellent	 6 cylinders	Denali. V6 engine.  Loaded.  Heated leather.  Sunroof.  Navigation.  Dvd system.  Backup camera.  Power gate lift.  Tinted windows.  It has it all.  Only 51,000 miles.		 gas	gmc terrain	4.0	51000.0	 white		2018-02-01 10:10pm	 clean	 automatic		2014.0
9	Tupelo	2400	N/A	2002 Volkswagen Jetta	https://northmiss.craigslist.org/cto/d/2002-volkswagen-jetta/6476306004.html			Very well running car with well kept car. Has 200,xxx miles with new timing belt kit becouse it was time did not need it. Great tires and new brakes and battery. Car go anywhere rides well on highway. It's not a new car so don't expect it to be. I bought it from a good friend and he took really good care of it. Want last long call or text  show contact info		 gas	Volkswagen	13.0				2018-01-28  4:23pm	 clean	 automatic		2002.0
10	N/A	8200	N/A	2005 Chevy Silveraldo	https://northmiss.craigslist.org/cto/d/2005-chevy-silveraldo/6481500287.html			I'm helping my buddy sell his truck. It runs and drives great. It is a crew cab 4. Stock exhaust. 5.3 V8 2wd. Towing package. Interior is a 10 our of a 10. Seats are in good shape. Cruise tilt. Cold air. HOT HEAT. Power windows. Power locks. Aftermarket radio. Has subs and speaks. 22 in rims with very good tred on tires. 153,000 miles. Clean clear title.  show contact info		 gas	Chevy Silveraldo	4.0				2018-02-01  9:33pm	 clean	 automatic		2005.0
11	N/A	99999	N/A	1966 Ford Fairlane 500  Convertible	https://northmiss.craigslist.org/cto/d/1966-ford-fairlane-500/6476269068.html			1966 Fairlane 500 Convertible289 with C4 trans  Both in great condition...Power steeringTires like new.New brakes  front and rear.Flowmasters..Does need top replaced.Tagged, insured and driven.Left front fender has dents and trunk lid has rust on lower lip..I have replacement fender and deck lid.Passenger side floorpan has rust but had panel installed.Smooth running driving car.Needs a little TLC and be a sweet cruiser.Sell or Trade.......Text is best...... show contact info		 gas	fairlane 500	11.0				2018-01-28  3:52pm	 clean	 automatic		1966.0
12	nemiss	4800	N/A	2010 chrysler 300 touring plus sedan	https://northmiss.craigslist.org/cto/d/2010-chrysler-300-touring/6474995128.html	 like new	 6 cylinders	runs..drives and handles like a new one....3.5 v6 h.o motor...automatic trans..no check engine lights...trans shifts smooth..203xxx miles....has been well taken care of..nice inside and out....has ac...heat..tilt..cruise...power seats..windows..locks..mirriors...stereo....leather interior....nice car for the money....		 gas	chrysler 300 touring plus	10.0		 blue		2018-01-27  1:04pm	 clean	 automatic		2010.0
13	MS	36900	N/A	2013 GMC Sierra 2500HD 2500 2500HD CREW CAB 4X4 DURAMAX DIESEL Z71 LEA	https://northmiss.craigslist.org/ctd/d/2013-gmc-sierra-2500hdhd-crew/6481497958.html	 excellent	 8 cylinders	2013 GMC Sierra 2500HD 2500 2500HD CREW CAB 4X4 DURAMAX DIESEL Z71 LEATHE - $36,900Year: 2013Make:GMCModel:Sierra 2500HDTrim:2500 2500HD CREW CAB 4X4 DURAMAX DIESEL Z71 LEATHEMileage:93,661Stock #:2377VIN:1GT120C85DF180787Trans:AutomaticColor:SilverVehicle Type:TruckState:Drive Train:4WDEngine:6.6L V8 OHV 32V TURBO DIESELNotesEXCEPTIONALLY CLEAN INSIDE AND OUT. ONE OWNER. NEW NITTO TIRES. 20 INCH WHEELS. BEAUTIFUL BLACK INTERIOR. THIS RIG HAS BEEN SERVICED AND IT IS READY TO GET TO WORK RIGHT NOW. NO DIESEL EXHAUST FLUID. THE DPF HAS BEEN DELETED. THIS TRUCK RUNS AND DRIVES LIKE NEW. STILL HAS SOME REMAINING FACTORY WARRANTY. FINANCING IS AVAILABLE (W.A.C.).Vehicle Options4x4Air ConditioningAlarm SystemAlloy WheelsAM/FMAnti-Lock BrakesAutomatic HeadlightsBack Up SonarBackup CameraBedlinerBluetoothCargo Area TiedownsCDChild Safety Door LocksCruise ControlDaytime Running LightsDieselDriver AirbagDriver Multi-Adjustable Power SeatElectronic Brake AssistanceFog LightsFront Air DamFront Split Bench SeatFull Size Spare TireHeated Exterior MirrorInterval WipersKeyless EntryLeather SeatsLeather Steering WheelOn-StarPassenger AirbagPickup Truck Cargo Box LightPower BrakesPower LocksPower MirrorsPower SeatsPower SteeringPower WindowsSatellite RadioSecond Row Folding SeatSkid PlateSteering Wheel Mounted ControlsTachometerTelematics SystemTilt WheelTinted WindowsTire Pressure MonitorTow PackageTraction ControlTrip ComputerVehicle Stability Control SystemVoice Activated Telephone4WD/AWDABS BrakesAM/FM RadioCD PlayerPower Adjustable Exterior MirrorPower Door LocksTilt SteeringTilt Steering ColumnVehicle Anti-TheftJames Grimes Auto SalesBrad, Robert or James662-516-8007BatchID: AU1CXY9DJ2ID: 10566818	 4wd	 diesel	GMC Sierra 2500HD	24.0	93661.0	 silver	 full-size	2018-02-01  9:30pm	 clean	 automatic	 1GT120C85DF180787	2013.0
